ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,precio,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3
CB01,Económico,Negativo,Inversión,Compra de kit,0,Inicial (única vez),kit,90000,100000,75000,9400,9800,9000,ene-2015,feb-2015,0,Lineal,,,
CB02,Económico,Negativo,Instalación,Instalación del kit,0,Inicial (única vez),personas,200,350,100,2000,2500,1800,ene-2015,dic-2016,0,Lineal,,,
CB03,Económico,Negativo,Mantenimiento,Personal ,0,Inicial (única vez),personas,200,350,100,1000,1300,800,ene-2015,dic-2016,0,Lineal,,,
CB04,Económico,Negativo,Costos indirectos,Bajantes,0,Cada año,kit,30,50,15,1200,1500,900,ene-2015,dic-2015,0,Lineal,,,
CB05,Económico,Negativo,Costos indirectos,Almacenamiento (bomba + cisterna rotomoldeada 1200L),0,Inicial (única vez),piezas,90000,100000,75000,4600,5000,4000,ene-2015,dic-2015,0,Lineal,,,
CB06,Económico,Negativo,Costos indirectos,Instalación adicional,0,Inicial (única vez),pesos,200,350,100,700,1000,500,ene-2015,dic-2015,0,Lineal,,,
CB07,Económico,Negativo,Talleres,Sensibilización y capacitación,0,Cada 2 años,talleres,8,16,8,5000,7500,4000,ene-2015,dic-2025,0,Lineal,,,
CB08,Económico,Positivo,Ahorro gastos de recibo de agua,Ahorro consumo de agua de sistema de suministro  ,0,Anual,pesos,1,1,1,2000,1800,2300,ene-2015,dic-2025,0,Lineal,,,
CB09,Económico,Positivo,Independencia de pipas en temporada seca,Ahorro transporte de pipas de agua,0,Mensual,pipa,1,1,1,2300,2000,1500,ene-2015,dic-2025,0,Lineal,,,
CB10,Ambiental,Positivo,Reducir riesgo de inundación ,,1,Mensual,pesos,1,1,1,230000,200000,35000,ene-2015,dic-2025,0,Lineal,,,
CB11,Ambiental,Positivo,Mitigación,Reducir emisiones por transportes combustible fósil ,1,Mensual,kgsCO2e,1,1,1,10,10,10,ene-2015,dic-2025,0,Lineal,,,
CB12,Social,Positivo,Calidad de vida,Ahorro en consultas médicas y medicinas,0,Cada 2 meses,personas,10000,7000,15000,500,1000,300,ene-2015,dic-2025,1,Lineal,,,
CB13,Ambiental,Positivo,Calidad de agua,"Conservación y mantenimiento de chinampas (reduce la extracción de agua, contaminación de canales, etc)",1,Cada 4 meses,pesos,90000,100000,75000,1000,1500,900,ene-2015,dic-2025,1,Lineal,,,
CB14,Ambiental,Positivo,Conservación del habitat del ajolote,,1,Cada año,pesos,1,1,1,50000,30000,100000,ene-2015,dic-2025,1,Lineal,,,
CB15,Económico,Negativo,Disponibilidad de espacio para instalación,,0,Inicial (única vez),pesos,1,1,1,200,500,150,ene-2015,dic-2025,1,Lineal,,,
CB16,Social,Positivo,Enfoque de género,Afecta labores de la casa y son quienes consiguen la pipa. ,1,Cada 4 meses,pesos,90000,100000,75000,200,100,400,ene-2015,dic-2025,1,Lineal,,,
